,LINK,MARKETCAP_RS_CR,P_BY_E,BOOK_VALUE_RS,DIV_PERCENT,MARKET_LOT,INDUSTRY_P_BY_E,EPS_TTM,P_BY_C,PRICE_BY_BOOK,DIV_YIELD_PERCENT,FACE_VALUE,sector,company_code,company_name
12,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE,26342.3,32.61,87.96,79.0,1,21.24,2.2,16.53,0.82,2.2,2.0,infrastructuregeneral,BHE,bharatheavyelectricals
13,http://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC,80598.59,10.18,137.83,310.0,1,7.49,36.51,7.63,2.7,8.34,10.0,refineries,BPC,bharatpetroleumcorporation
14,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI,74736.82,78.85,294.01,1100.0,1,64.8,78.95,70.0,21.17,0.35,2.0,foodprocessing,BI,britanniaindustries
15,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cadilahealthcare/CHC,38625.81,35.39,75.3,320.0,1,28.83,10.66,27.91,5.01,0.85,1.0,pharmaceuticals,CHC,cadilahealthcare
16,http://www.moneycontrol.com/india/stockpricequote/financehousing/canfinhomes/CFH,4539.96,15.05,101.12,100.0,1,24.02,22.66,14.9,3.37,0.59,2.0,financehousing,CFH,canfinhomes
17,http://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI,9896.24,26.63,255.47,55.0,1,21.24,33.27,14.44,3.47,0.62,10.0,diversified,CTI,centurytextilesindustries
18,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/cesc/CES,12121.02,13.92,1070.79,100.0,1,11.31,65.71,9.3,0.85,1.09,10.0,powergenerationdistribution,CES,cesc
19,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC,6449.14,13.43,72.45,19.0,1,13.56,11.54,11.87,2.14,1.23,10.0,fertilisers,CFC,chambalfertiliserschemicals
20,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB,23651.96,24.28,338.16,55.0,1,34.92,62.31,23.1,4.47,0.36,10.0,financeleasinghirepurchase,CDB,cholamandalaminvestmentfinancecompany
21,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/crisil/CRI,12972.28,54.48,113.04,2800.0,1,38.62,33.16,48.65,15.98,1.55,1.0,miscellaneous,CRI,crisil
22,http://www.moneycontrol.com/india/stockpricequote/personalcare/daburindia/DI,69043.28,64.4,23.93,750.0,1,66.93,6.07,58.78,16.34,1.92,1.0,personalcare,DI,daburindia
23,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dbcorp/C13,4728.6,14.57,86.87,40.0,1,14.79,17.63,11.35,2.96,1.56,10.0,mediaentertainment,C13,dbcorp
24,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04,33656.76,92.02,84.46,100.0,1,28.23,2.05,67.62,2.23,1.06,2.0,constructioncontractingrealestate,D04,dlf
25,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/drreddyslaboratories/DRL,37075.1,65.39,698.95,400.0,1,28.83,34.16,27.65,3.2,0.9,5.0,pharmaceuticals,DRL,drreddyslaboratories
26,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/endurancetechnologies/ET01,17592.7,64.77,130.43,25.0,1,36.84,19.31,39.87,9.59,0.2,10.0,auto23wheelers,ET01,endurancetechnologies
27,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/exideindustries/EI,21947.0,32.85,66.26,240.0,1,30.16,7.86,24.0,3.9,0.93,1.0,autoancillaries,EI,exideindustries
28,http://www.moneycontrol.com/india/stockpricequote/retail/futurelifestylefashions/FLF01,8404.15,76.08,91.76,40.0,1,76.05,5.68,32.35,4.71,0.19,2.0,retail,FLF01,futurelifestylefashions
29,http://www.moneycontrol.com/india/stockpricequote/financehousing/gichousingfinance/GIC,1896.9,10.28,189.9,50.0,1,24.02,34.25,10.25,1.85,1.42,10.0,financehousing,GIC,gichousingfinance
30,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22,20987.98,90.42,153.63,1640.0,1,66.93,71.23,77.6,41.93,2.55,10.0,personalcare,GI22,gilletteindia
31,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04,27438.93,39.19,908.98,700.0,1,64.8,166.47,35.89,7.18,1.07,10.0,foodprocessing,GSC04,glaxosmithklineconsumerhealthcare
32,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glaxosmithklinepharmaceuticals/GSK,23768.51,67.54,245.56,350.0,1,28.83,41.55,60.95,11.43,1.25,10.0,pharmaceuticals,GSK,glaxosmithklinepharmaceuticals
33,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/glenmarkpharma/GP08,16439.12,16.21,370.38,200.0,1,28.83,35.95,14.51,1.57,0.34,1.0,pharmaceuticals,GP08,glenmarkpharma
34,http://www.moneycontrol.com/india/stockpricequote/financehousing/gruhfinance/GRU,22301.61,61.47,18.88,165.0,1,24.02,4.96,60.98,16.15,1.08,2.0,financehousing,GRU,gruhfinance
35,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02,10109.54,15.12,91.6,15.0,1,15.43,11.86,11.99,1.96,0.84,10.0,oildrillingandexploration,GSP02,gujaratstatepetronet
36,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/hcltechnologies/HCL02,129062.18,17.53,186.49,600.0,1,22.18,52.87,15.63,4.97,1.29,2.0,computerssoftware,HCL02,hcltechnologies
37,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI,898.39,9.41,263.04,0.0,1,28.23,2.2,8.81,0.08,,10.0,constructioncontractingrealestate,HDI,housingdevelopmentinfrastructure
38,http://www.moneycontrol.com/india/stockpricequote/metalsnonferrous/hindustanzinc/HZ,116513.17,12.72,94.86,1470.0,1,12.56,21.67,10.95,2.91,10.66,2.0,metalsnonferrous,HZ,hindustanzinc
39,http://www.moneycontrol.com/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC,39482.24,6.21,120.46,300.0,1,7.49,41.72,4.33,2.15,11.58,10.0,refineries,HPC,hindustanpetroleumcorporation
40,http://www.moneycontrol.com/india/stockpricequote/personalcare/hindustanunilever/HU,355400.4,67.87,32.69,2000.0,1,66.93,24.19,62.19,50.22,1.22,1.0,personalcare,HU,hindustanunilever
41,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/icicibank/ICI02,177195.46,26.14,150.67,125.0,1,32.65,10.54,26.14,1.83,0.91,2.0,banksprivatesector,ICI02,icicibank
42,http://www.moneycontrol.com/india/stockpricequote/financegeneral/iiflholdings/II15,21375.37,104.52,47.01,225.0,1,34.92,6.41,104.36,14.25,0.67,2.0,financegeneral,II15,iiflholdings
43,http://www.moneycontrol.com/india/stockpricequote/financehousing/indiabullshousingfinance/IHF01,48546.26,13.61,361.84,1350.0,1,34.92,83.61,13.51,3.15,2.37,2.0,financehousing,IHF01,indiabullshousingfinance
44,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/indiabullsventures/IS13,29453.41,566.1,38.01,50.0,1,34.92,0.86,547.02,12.81,0.21,2.0,financeinvestments,IS13,indiabullsventures
45,http://www.moneycontrol.com/india/stockpricequote/bankspublicsector/indianbank/IB04,16185.83,12.86,329.53,0.0,1,11.67,26.21,10.82,1.02,,10.0,bankspublicsector,IB04,indianbank
46,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jkumarinfraprojects/KI01,1702.47,12.47,201.62,40.0,1,28.23,18.05,8.13,1.12,0.89,5.0,constructioncontractingcivil,KI01,jkumarinfraprojects
47,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaiprakashassociates/JA02,3904.09,11.07,32.52,0.0,1,28.23,1.45,4.55,0.49,,2.0,infrastructuregeneral,JA02,jaiprakashassociates
48,http://www.moneycontrol.com/india/stockpricequote/packaging/jindalpolyfilms/JPF01,940.09,64.67,422.11,10.0,1,22.08,3.32,8.06,0.51,0.47,10.0,packaging,JPF01,jindalpolyfilms
49,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01,2764.86,64.16,75.7,125.0,1,25.91,1.9,12.67,1.61,2.05,2.0,tyres,JKT01,jktyreindustries
50,http://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/johnsoncontrolshitachiairconditioningindia/HHL,6520.24,65.11,198.28,15.0,1,19.08,36.83,42.59,12.09,0.06,10.0,consumergoodswhitegoods,HHL,johnsoncontrolshitachiairconditioningindia
51,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP,23879.53,46.25,57.99,260.0,1,55.61,9.58,40.32,7.64,0.59,1.0,paintsvarnishes,KNP,kansainerolacpaints
52,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/karnatakabank/KB04,3097.03,9.51,181.91,40.0,1,32.65,11.52,9.51,0.6,3.65,10.0,banksprivatesector,KB04,karnatakabank
53,http://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/kitexgarments/KG01,986.2,14.08,68.52,150.0,1,48.29,10.53,10.56,2.16,1.01,1.0,textilesreadymadeapparels,KG01,kitexgarments
54,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/ltfinanceholdings/LFH,30225.71,82.31,38.17,8.0,1,34.92,1.84,82.31,3.97,0.53,10.0,financeinvestments,LFH,ltfinanceholdings
55,http://www.moneycontrol.com/india/stockpricequote/financehousing/lichousingfinance/LIC,23625.8,11.88,258.92,310.0,1,24.02,39.42,11.82,1.81,1.32,2.0,financehousing,LIC,lichousingfinance
56,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/lupin/L,40859.9,30.39,326.9,375.0,1,28.83,29.74,23.56,2.76,0.83,2.0,pharmaceuticals,L,lupin
57,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/mahindramahindrafinancialservices/MMF04,28933.02,32.43,119.46,120.0,1,34.92,14.44,30.91,3.92,0.51,2.0,financeleasinghirepurchase,MMF04,mahindramahindrafinancialservices
58,http://www.moneycontrol.com/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19,9755.18,106.93,92.45,0.0,1,44.13,2.41,58.44,2.79,,10.0,castingsforgings,MF19,mahindracieautomotive
59,http://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/manappuramfinance/MGF01,8315.84,11.88,47.61,100.0,1,34.92,8.31,10.93,2.07,2.03,2.0,financeleasinghirepurchase,MGF01,manappuramfinance
60,http://www.moneycontrol.com/india/stockpricequote/personalcare/marico/M13,42656.61,59.43,28.22,350.0,1,66.93,5.56,54.35,11.71,1.06,1.0,personalcare,M13,marico
61,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/marksanspharma/MP21,1082.63,88.17,10.54,5.0,1,28.83,0.3,44.08,2.51,0.19,1.0,pharmaceuticals,MP21,marksanspharma
62,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/maxfinancialservices/MI,11617.03,94.5,68.12,0.0,1,34.92,4.58,92.88,6.35,,2.0,financeinvestments,MI,maxfinancialservices
63,http://www.moneycontrol.com/india/stockpricequote/trading/mmtc/MMT,5017.5,101.36,9.56,30.0,1,43.05,0.33,92.92,3.5,0.9,1.0,trading,MMT,mmtc
64,http://www.moneycontrol.com/india/stockpricequote/miningminerals/moil/M18,4625.61,10.96,105.32,110.0,1,14.25,15.84,9.55,1.65,6.33,10.0,miningminerals,M18,moil
65,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/mothersonsumisystems/MSS01,59506.57,67.62,11.9,200.0,1,67.6,4.18,54.25,23.75,0.71,1.0,autoancillaries,MSS01,mothersonsumisystems
66,http://www.moneycontrol.com/india/stockpricequote/financegeneral/motilaloswalfinancialservices/MOF01,11252.68,86.76,55.07,250.0,1,34.92,8.94,82.6,14.08,0.32,1.0,financegeneral,MOF01,motilaloswalfinancialservices
67,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/nestleindia/NI,95078.91,70.82,354.77,860.0,1,64.8,139.24,56.44,27.8,0.87,10.0,foodprocessing,NI,nestleindia
68,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/nhpc/N07,24006.81,8.7,28.95,18.0,1,11.31,2.69,5.76,0.81,7.69,10.0,powergenerationdistribution,N07,nhpc
69,http://www.moneycontrol.com/india/stockpricequote/miningminerals/nmdc/NMD02,34170.02,8.98,83.2,515.0,1,14.25,12.03,8.41,1.3,4.77,1.0,miningminerals,NMD02,nmdc
70,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/ntpc/NTP,131473.93,12.72,129.25,47.8,1,11.31,12.54,7.54,1.23,3.0,10.0,powergenerationdistribution,NTP,ntpc
71,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR,17351.1,41.6,123.37,20.0,1,28.23,11.47,37.99,3.87,0.42,10.0,constructioncontractingrealestate,OR,oberoirealty
72,http://www.moneycontrol.com/india/stockpricequote/cementmajor/oclindia/OCL,6048.49,14.32,488.16,250.0,1,35.64,74.21,10.25,2.18,0.47,2.0,cementmajor,OCL,oclindia
73,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilindia/OI13,23793.26,8.92,255.93,95.0,1,11.19,23.51,6.04,0.82,4.53,10.0,oildrillingandexploration,OI13,oilindia
74,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/oilnaturalgascorporation/ONG,203021.78,10.18,160.12,121.0,1,11.19,15.54,5.9,0.99,3.82,5.0,oildrillingandexploration,ONG,oilnaturalgascorporation
75,http://www.moneycontrol.com/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH,32141.32,78.77,162.08,3890.0,1,66.93,125.71,68.7,61.09,3.93,10.0,personalcare,PGH,proctergamblehygienehealthcare
76,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/pcjeweller/PJ,5384.49,9.49,70.83,10.0,1,23.81,14.38,9.16,1.93,0.73,10.0,diamondcuttingjewellerypreciousmetals,PJ,pcjeweller
77,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/petronetlng/PLN,32872.5,15.82,53.88,25.0,1,15.43,13.85,13.2,4.07,1.14,10.0,oildrillingandexploration,PLN,petronetlng
78,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/powergridcorporationindia/PGC,98092.31,11.9,110.95,10.0,1,13.5,15.75,5.66,1.69,0.53,10.0,powergenerationdistribution,PGC,powergridcorporationindia
79,http://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02,10104.38,43.53,132.66,12.0,1,28.23,6.19,35.13,2.03,0.45,10.0,constructioncontractingrealestate,PEP02,prestigeestatesprojects
81,http://www.moneycontrol.com/india/stockpricequote/financeinvestments/reliancecapital/RC,9797.36,11.75,574.93,105.0,1,34.92,33.0,11.46,0.67,2.71,10.0,financeinvestments,RC,reliancecapital
82,http://www.moneycontrol.com/india/stockpricequote/shipping/shippingcorporationindia/SCI,2745.89,10.82,152.88,0.0,1,16.98,5.45,3.18,0.39,,10.0,shipping,SCI,shippingcorporationindia
83,http://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S,34862.39,29.13,216.35,350.0,1,36.9,33.61,25.02,4.52,0.72,2.0,infrastructuregeneral,S,siemens
84,http://www.moneycontrol.com/india/stockpricequote/chemicals/solarindustriesindia/SII04,10255.24,76.37,87.62,250.0,1,70.52,14.84,63.96,12.93,0.44,2.0,chemicals,SII04,solarindustriesindia
85,http://www.moneycontrol.com/india/stockpricequote/banksprivatesector/southindianbank/SIB,4026.14,12.03,27.64,40.0,1,32.65,1.85,10.11,0.8,1.8,1.0,banksprivatesector,SIB,southindianbank
86,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/spicejet/SJ01,6540.0,11.54,-0.71,0.0,1,17.26,9.45,8.2,,,10.0,transportlogistics,SJ01,spicejet
87,http://www.moneycontrol.com/india/stockpricequote/chemicals/tatachemicals/TC,17705.56,10.02,416.96,110.0,1,9.24,69.36,9.35,1.67,1.58,10.0,chemicals,TC,tatachemicals
88,http://www.moneycontrol.com/india/stockpricequote/steelspongeiron/tataspongeiron/TSI,1474.47,10.47,640.54,200.0,1,8.96,91.47,9.63,1.49,2.09,10.0,steelspongeiron,TSI,tataspongeiron
89,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01,78023.09,67.09,61.67,260.0,1,66.68,13.1,61.33,14.25,0.3,1.0,miscellaneous,TI01,titancompany
90,http://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/torrentpower/TP14,10847.52,11.77,162.42,22.0,1,11.31,19.18,5.34,1.39,0.97,10.0,powergenerationdistribution,TP14,torrentpower
91,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04,10032.64,86.01,49.88,100.0,1,68.9,3.51,63.29,6.05,0.33,1.0,retail,T04,trent
92,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/trident/AI01,2874.12,10.89,58.64,15.0,1,13.57,5.18,4.31,0.96,2.66,10.0,textilesspinningcottonblended,AI01,trident
93,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/tv18broadcast/IBN,9000.39,93.75,22.13,0.0,1,33.06,0.56,78.36,2.37,,2.0,mediaentertainment,IBN,tv18broadcast
94,http://www.moneycontrol.com/india/stockpricequote/auto23wheelers/tvsmotorcompany/TVS,26239.06,39.59,64.64,250.0,1,21.21,13.95,26.2,8.54,0.45,1.0,auto23wheelers,TVS,tvsmotorcompany
95,http://www.moneycontrol.com/india/stockpricequote/electricequipment/vguardindustries/VI02,8388.6,62.94,14.96,70.0,1,46.21,3.13,55.18,13.17,0.36,1.0,electricequipment,VI02,vguardindustries
96,http://www.moneycontrol.com/india/stockpricequote/textilesspinningcottonblended/vardhmantextiles/VT10,6988.76,12.81,694.17,150.0,1,13.57,95.01,9.03,1.75,1.23,10.0,textilesspinningcottonblended,VT10,vardhmantextiles
97,http://www.moneycontrol.com/india/stockpricequote/miningminerals/vedanta/SG,87632.91,12.08,234.11,1945.0,1,14.25,19.52,8.68,1.01,8.25,1.0,miningminerals,SG,vedanta
98,http://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V,17172.92,34.26,105.36,350.0,1,21.24,15.15,32.99,4.93,0.67,1.0,diversified,V,voltas
99,http://www.moneycontrol.com/india/stockpricequote/computerssoftware/wipro/W,126754.3,16.41,86.96,50.0,1,22.18,15.87,14.51,2.99,0.38,2.0,computerssoftware,W,wipro
